[WARNING] Started keyboard
[WARNING] Pressed: 97
[WARNING] Pressed: 100
[WARNING] Pressed: 97
[WARNING] Pressed: 97
[WARNING] Pressed: 97
[WARNING] Pressed: 97
[WARNING] Pressed: 107
[WARNING] Pressed: 108
[WARNING] Pressed: 106
[WARNING] Pressed: 102
[WARNING] Pressed: 107
[WARNING] Pressed: 241
[WARNING] Pressed: 241
[WARNING] Pressed: 97
[WARNING] Pressed: 115
[WARNING] Pressed: 108
[WARNING] Pressed: 102
[WARNING] Pressed: 107
[WARNING] Pressed: 106
[WARNING] Pressed: 115
[WARNING] Pressed: 97
